Mito,Nuc,Sex,Day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err,treatment,build,vial
Bei54,375,M,70323,2,Bei54_375A_M_070323__5,0,50,3.8722,66.7265,0.9747,0,0.0704,C,A,5
Bei54,375,M,70323,2,Bei54_375A_M_070323__6,0,50,3.1217,60.4969,0.9734,0,0.0583,C,A,6
Bei54,375,M,70323,2,Bei54_375B_M_070323__1,1,51,3.683,97.6746,0.9935,0,0.0335,C,B,1
Bei54,375,M,70323,2,Bei54_375B_M_070323__2,25,75,4.4257,50.6402,0.9917,0,0.0456,C,B,2
Bei54,375,M,70323,2,Bei54_375B_M_070323__3,22,72,3.2722,104.8837,0.9749,0,0.0593,C,B,3
Bei54,375,M,70323,2,Bei54_375B_M_070323__4,0,50,3.0965,78.9269,0.964,0,0.0677,C,B,4
Bei54,375,M,70323,2,Bei54_375B_M_070323__5,0,50,5.1286,78.0382,0.9868,0,0.0669,C,B,5
Bei54,375,M,70323,2,Bei54_375B_M_070323__6,0,50,3.7544,63.3585,0.9814,0,0.0582,C,B,6
Bei54,375,M,70323,3,Bei54_375A_M_070323__1,25,75,3.0996,43.2684,0.9866,0,0.0407,C,A,1
Bei54,375,M,70323,3,Bei54_375A_M_070323__2,70,120,2.9002,-1.0545,0.9714,0,0.0562,C,A,2
Bei54,375,M,70323,3,Bei54_375A_M_070323__3,39,89,3.1279,71.8067,0.9825,0,0.047,C,A,3
Bei54,375,M,70323,3,Bei54_375A_M_070323__4,1,51,2.3983,59.3338,0.9836,0,0.0349,C,A,4
Bei54,375,M,70323,3,Bei54_375A_M_070323__5,12,62,3.3782,47.4173,0.988,0,0.042,C,A,5
Bei54,375,M,70323,3,Bei54_375A_M_070323__6,80,130,4.1377,14.3281,0.9932,0,0.0385,C,A,6
Bei54,375,M,70323,3,Bei54_375B_M_070323__1,13,63,3.0085,54.3632,0.9878,0,0.0376,C,B,1
Bei54,375,M,70323,3,Bei54_375B_M_070323__2,8,58,4.3582,60.2278,0.9893,0,0.051,C,B,2
Bei54,375,M,70323,3,Bei54_375B_M_070323__3,43,93,3.6693,63.5271,0.981,0,0.0576,C,B,3
Bei54,375,M,70323,3,Bei54_375B_M_070323__4,15,65,3.7552,40.1164,0.9888,0,0.0449,C,B,4
Bei54,375,M,70323,3,Bei54_375B_M_070323__5,61,111,3.2571,126.6219,0.991,0,0.0349,C,B,5
Bei54,375,M,70323,3,Bei54_375B_M_070323__6,50,100,3.6927,72.4002,0.9911,0,0.0393,C,B,6
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__1,74,124,1.0305,10.3548,0.9685,0,0.021,R,A,1
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__2,20,70,0.9718,31.3173,0.9449,0,0.0267,R,A,2
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__3,90,140,1.0156,-13.8584,0.9304,0,0.0318,R,A,3
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__4,87,137,1.1875,22.9473,0.9653,0,0.0255,R,A,4
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__5,61,111,1.1851,4.987,0.9767,0,0.0207,R,A,5
Bei54,Ore,F,070423R,1,Bei54_OreA_F_070423R__6,26,76,0.905,25.9759,0.9724,0,0.0172,R,A,6
Bei54,Ore,F,070423R,1,Bei54_OreB_F_070423R__1,88,138,0.2855,33,0.9743,0,0.0052,R,B,1
