"Sex","Nuc","Treatment","boot"
"F","375","Control",0.036332563023041
"F","375","Control",0.0331787279514306
"F","375","Control",0.0329610002506523
"F","375","Control",0.0268797008530891
"F","375","Control",0.0439783946955807
"F","375","Control",0.0355631500756937
"F","375","Control",0.0310123518864983
"F","375","Control",0.0355856654731991
"F","375","Control",0.030192436183047
"F","375","Control",0.0406843291169867
"F","375","Control",0.0307513410868865
"F","375","Control",0.0358941922424894
"F","375","Control",0.0352604459178381
"F","375","Control",0.0411301687098451
"F","375","Control",0.0305964279578241
"F","375","Control",0.0359429692381107
"F","375","Control",0.0323706171897449
"F","375","Control",0.0332611936740265
"F","375","Control",0.0315841746920781
"F","375","Control",0.036544988841125
"F","375","Control",0.0333463828670202
"F","375","Control",0.0304405809845287
"F","375","Control",0.0257825231011364
"F","375","Control",0.0401005441716578
"F","375","Control",0.0326494422742265
"F","375","Control",0.0304214982414679
"F","375","Control",0.0395215943200136
"F","375","Control",0.0398129371056291
"F","375","Control",0.0336573258364649
"F","375","Control",0.0311994197087714
"F","375","Control",0.0359000093581757
"F","375","Control",0.039015921458788
"F","375","Control",0.0337954813729435
"F","375","Control",0.0308505260854997
"F","375","Control",0.0289183888375591
"F","375","Control",0.0290665398499138
"F","375","Control",0.027110131241904
"F","375","Control",0.0337749076666625
