Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
46B,0.963772,19,0.976262,M,Control,9,yak_375,yak,375,0.000657368421052632,B,-0.458015002515866,0.000853247961816306,0.000743674151688568,0.000547794610924894
46B,0.99515,14,1.010128,F,Control,2,yak_375,yak,375,0.00106985714285714,B,-0.526347807823848,0.00124479621146398,0.00118354565556564,0.0010086065869588
46B,1.02317,14,1.036704,F,Rotenone,2,yak_375,yak,375,0.000966714285714297,B,-1.02283319449785,0.00109585833333333,0.00116980665562678,0.00104066260800774
46B,0.998198,17,1.010912,M,Rotenone,2,yak_375,yak,375,0.000747882352941177,B,-0.0815943836557585,0.000718139411027571,0.000751470968198374,0.00078121391011198
46B,0.95265,19,0.965482,M,Control,2,yak_375,yak,375,0.000675368421052629,B,-0.383158336827936,0.000819221475256768,0.000743674151688568,0.000599821097484429
46B,1.026976,21,1.052964,F,Rotenone,9,yak_375,yak,375,0.00123752380952382,B,0.280727467559141,0.00131216049519223,0.00116980665562678,0.00109516996995837
46B,0.997798,23,1.014596,M,Rotenone,9,yak_375,yak,375,0.00073034782608696,B,-0.154515284473667,0.000812438967070082,0.000751470968198374,0.000669379827215252
46B,1.02339,20,1.043108,F,Rotenone,1,yak_375,yak,375,0.000985899999999995,B,-0.930481411353433,0.00104212393115141,0.00116980665562678,0.00111358272447537
46B,0.950894,20,0.96537,M,Control,9,yak_375,yak,375,0.000723799999999997,B,-0.181745752716699,0.000853247961816306,0.000743674151688568,0.000614226189872259
4A,0.963968,21,0.97944,M,Control,9,ZW133_Ore,ZW133,Ore,0.000736761904761901,A,-0.1278410320811,0.000853247961816306,0.000743674151688568,0.000627188094634163
4A,0.997868,19,1.012534,M,Rotenone,9,ZW133_Ore,ZW133,Ore,0.000771894736842109,A,0.0182660049021624,0.000812438967070082,0.000751470968198374,0.000710926737970401
4A,1.023806,21,1.050576,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.0012747619047619,A,0.459975654253032,0.00131216049519223,0.00116980665562678,0.00113240806519645
4A,1.030536,16,1.046214,F,Rotenone,2,ZW133_Ore,ZW133,Ore,0.000979875000000005,A,-0.95948317199463,0.00109585833333333,0.00116980665562678,0.00105382332229345
4A,0.956596,20,0.971312,M,Control,9,ZW133_Ore,ZW133,Ore,0.000735799999999998,A,-0.131841308924734,0.000853247961816306,0.000743674151688568,0.00062622618987226
4A,1.016798,16,1.034514,F,Rotenone,2,ZW133_Ore,ZW133,Ore,0.00110724999999999,A,-0.346354663832277,0.00109585833333333,0.00116980665562678,0.00118119832229344
4A,0.993904,13,1.009938,F,Control,9,ZW133_Ore,ZW133,Ore,0.00123338461538461,A,0.260803165870673,0.001235392995893,0.00118354565556564,0.00118153727505725
